"SCHOOL_CODE","COUNTY","PUBLIC_PRIVATE","PUBLIC_SCHOOL_DISTRICT","CITY","SCHOOL_NAME","ENROLLMENT","PERCENT","lookup_address","lon","lat"
6934327,"LOS ANGELES","PRIVATE","","LOS ANGELES","BRENTWOOD SCHOOL",45,95,"BRENTWOOD SCHOOL LOS ANGELES , CA",-118.468795,34.067168
6934343,"LOS ANGELES","PRIVATE","","SHERMAN OAKS","BUCKLEY SCHOOL, THE",44,95,"BUCKLEY SCHOOL, THE SHERMAN OAKS , CA",-118.4436285,34.1397737
6934392,"LOS ANGELES","PRIVATE","","NORTH HOLLYWOOD","CAMPBELL HALL EPISCOPAL",44,95,"CAMPBELL HALL EPISCOPAL NORTH HOLLYWOOD , CA",-118.398326,34.153547
6934467,"LOS ANGELES","PRIVATE","","PALOS VERDES PENINSULA","CHADWICK",39,95,"CHADWICK PALOS VERDES PENINSULA , CA",-118.3613112,33.7767455
6934657,"LOS ANGELES","PRIVATE","","SANTA MONICA","CROSSROADS SCHOOL FOR ARTS AND SCIENCES",51,98,"CROSSROADS SCHOOL FOR ARTS AND SCIENCES SANTA MONICA , CA",-118.4780122,34.0226129
6934798,"LOS ANGELES","PRIVATE","","CANOGA PARK","FAITH BAPTIST",110,99,"FAITH BAPTIST CANOGA PARK , CA",-118.6093552,34.2095035
6934855,"LOS ANGELES","PRIVATE","","GLENDALE","GLENDALE ADVENTIST ACADEMY",35,95,"GLENDALE ADVENTIST ACADEMY GLENDALE , CA",-118.2267126,34.1576263
6934913,"LOS ANGELES","PRIVATE","","NORTHRIDGE","HIGHLAND HALL WALDORF SCHOOL",29,52,"HIGHLAND HALL WALDORF SCHOOL NORTHRIDGE , CA",-118.5057092,34.2455057
6935555,"LOS ANGELES","PRIVATE","","LOS ANGELES","PILGRIM SCHOOL",37,89,"PILGRIM SCHOOL LOS ANGELES , CA",-118.2848656,34.0641165
6935589,"LOS ANGELES","PRIVATE","","PASADENA","POLYTECHNIC SCHOOL",45,95,"POLYTECHNIC SCHOOL PASADENA , CA",-118.1285402,34.1347607
6935829,"LOS ANGELES","PRIVATE","","SANTA CLARITA","SANTA CLARITA CHRISTIAN",21,95,"SANTA CLARITA CHRISTIAN SANTA CLARITA , CA",-118.464505,34.4131474
6936165,"LOS ANGELES","PRIVATE","","SUN VALLEY","VILLAGE CHRISTIAN SCHOOLS",42,95,"VILLAGE CHRISTIAN SCHOOLS SUN VALLEY , CA",-118.3556898,34.2310987
6936322,"LOS ANGELES","PRIVATE","","TARZANA","WOODCREST SCHOOL",32,95,"WOODCREST SCHOOL TARZANA , CA",-118.5536889,34.1804879
6937056,"ORANGE","PRIVATE","","SAN JUAN CAPISTRANO","CAPISTRANO VALLEY CHRISTIAN SCHOOLS",32,78,"CAPISTRANO VALLEY CHRISTIAN SCHOOLS SAN JUAN CAPISTRANO , CA",-117.6703816,33.4976254
6937163,"ORANGE","PRIVATE","","HUNTINGTON BEACH","HEBREW ACADEMY",22,95,"HEBREW ACADEMY HUNTINGTON BEACH , CA",-118.0193763,33.7529742
6937809,"RIVERSIDE","PRIVATE","","RIVERSIDE","LA SIERRA ACADEMY",25,95,"LA SIERRA ACADEMY RIVERSIDE , CA",-117.4955206,33.9179397
6937825,"RIVERSIDE","PRIVATE","","TEMECULA","LINFIELD CHRISTIAN SCHOOL",52,98,"LINFIELD CHRISTIAN SCHOOL TEMECULA , CA",-117.1102117,33.5015629
6938203,"SACRAMENTO","PRIVATE","","FAIR OAKS","SACRAMENTO WALDORF SCHOOL",48,67,"SACRAMENTO WALDORF SCHOOL FAIR OAKS , CA",-121.2872459,38.6319641
6938211,"SACRAMENTO","PRIVATE","","SACRAMENTO","SACRAMENTO COUNTRY DAY SCHOOL",27,95,"SACRAMENTO COUNTRY DAY SCHOOL SACRAMENTO , CA",-121.4002623,38.5692773
