"SCHOOL_CODE","lat","lon"
109249,33.9958264,-118.2526219
109256,34.0531906,-118.2991296
109264,34.0933419,-118.2880141
109272,33.9790643,-118.2293415
109280,34.0244238,-118.1857349
109298,34.0913905,-118.3193173
109306,33.932989,-118.290675
109314,34.0771873,-118.3041614
109322,33.9812524,-118.2251268
109330,34.0105253,-118.2676913
109348,33.9948879,-118.2571726
109355,34.0264686,-118.2934764
109363,33.9934019,-118.184298
109371,34.2313387,-118.4613816
109389,34.2268918,-118.4571357
109397,34.178419,-118.3798265
109405,34.091666,-118.3028793
109413,33.945661,-118.2143881
109421,33.9691601,-118.2093947
109439,34.0885527,-118.1679607
109470,34.5424613,-117.4135131
109496,34.1272018,-117.2683052
109520,34.4082858,-118.9257518
109660,33.98413,-118.1969619
109678,33.9047488,-117.8272252
109702,36.9926331,-120.0657527
109793,38.9119043,-121.542676
109819,37.8452517,-122.2843616
109827,38.8713164,-121.1366554
109843,33.6768051,-117.1780574
109934,34.2527562,-118.563932
109975,40.8795437,-124.1002905
110007,37.1683512,-122.1348295
110080,37.4707965,-121.1529391
110098,34.5647544,-118.1800114
110114,32.9541335,-117.1988934
110122,33.263712,-117.293678
110155,38.8602611,-120.0207565
110221,40.6804279,-122.3708419
110239,37.7464704,-122.1614182
110247,37.792128,-122.2241567
110254,37.8470237,-122.2648199
110262,37.7522495,-122.1790432
110338,39.761657,-121.8163265
110486,35.015414,-120.515424
110502,34.2119995,-119.0211875
110551,39.7808384,-121.9550215
110569,34.0741176,-117.1550586
110577,33.7600447,-117.2349091
110585,33.7951363,-117.2101334
110601,33.6780732,-117.1988934
110643,33.9599017,-117.5681647
110684,37.9911787,-121.6906862
110700,37.398453,-121.9464642
110718,34.4956677,-117.4029407
110726,33.9749526,-117.699117
110734,37.5921278,-120.9261198
110767,35.2829618,-119.0133662
110783,34.1115676,-117.2972988
110791,33.7592945,-116.3155134
110833,33.5116387,-117.1575531
110866,34.4852029,-117.2363137
110940,36.2919375,-119.3256231
110957,36.937501,-120.0182292
110973,37.9287947,-122.3593316
110981,36.349221,-119.6254375
111047,34.0528029,-117.7595533
111054,34.0705632,-117.777696
111070,34.0200114,-117.9495083
111088,36.4367617,-121.3147585
111104,38.7075456,-121.3506887
111112,38.382503,-121.4297849
111138,38.6677362,-121.5114176
111153,36.7951034,-119.6390504
111187,33.026924,-117.1089183
111203,40.7997131,-124.1661139
111211,34.0106394,-118.3176793
111237,33.2148778,-117.2597966
111245,35.364707,-119.117877
111252,33.880128,-117.3241807
111278,38.573245,-121.285234
111286,38.0460258,-121.2728788
111294,37.3891507,-120.6043924
111310,37.9238621,-121.3038778
111328,38.0105222,-121.3126627
111336,37.9620742,-121.2831545
111344,37.9541955,-121.2285355
111351,37.9661032,-121.2664224
111369,37.9323238,-121.2490602
111377,34.850046,-118.195512
111393,40.390672,-122.3153244
111401,38.5588576,-121.7090627
111419,38.1629426,-121.4116734
111427,37.7396634,-122.4817726
111468,33.099711,-117.1947025
111476,37.7821321,-122.2267469
111674,40.5611766,-122.2417501
111682,36.7873602,-118.9177912
111708,40.8631207,-124.076068
111724,38.6695419,-120.9112588
111732,38.4087823,-121.3743161
111757,38.5539848,-121.3994319
111765,37.7823029,-122.2853413
111773,34.8659266,-120.4170264
111815,37.6536616,-122.0175952
111864,32.7609437,-117.1128599
111880,37.3028165,-121.9726439
111955,33.7764426,-118.2659004
111971,34.072925,-118.292591
111989,34.070291,-118.308277
111997,33.9850712,-118.1954806
112003,34.0611055,-118.3157773
112060,34.1618887,-118.4726989
112086,34.5373799,-117.3725158
112094,33.8162207,-117.2154025
112169,38.6352056,-121.3399802
112177,36.6051903,-121.9303782
112235,34.1107012,-118.2453804
112276,38.0105809,-120.2828805
112284,34.2758118,-118.7979517
112292,37.6090148,-120.9577327
112300,39.3187678,-123.3084326
112383,37.624443,-121.055434
112417,34.3006176,-119.2913791
112441,34.4170859,-117.3082594
112458,36.2916461,-119.3129626
112631,34.243786,-119.166655
112649,33.6753282,-116.2004807
112664,38.265747,-122.050522
112698,34.2758118,-118.7979517
112706,34.2758118,-118.7979517
112714,34.5586105,-118.0435461
112748,33.4839485,-117.6719099
112813,37.7370558,-122.173455
113027,35.1865759,-118.8342362
113043,36.7135632,-119.582664
113050,36.9872741,-120.0461403
113068,38.8789464,-121.3042352
113084,38.290823,-122.041925
113092,38.1702632,-122.1327746
113100,33.6965354,-117.3171917
113134,39.088534,-121.610125
113167,35.5789238,-119.3418677
113357,37.8007912,-121.3060404
113407,40.6195013,-122.4022453
113423,34.1195443,-117.4446
113472,34.1925856,-118.1116278
113498,33.1173571,-117.2544213
113506,38.4006656,-122.7090795
113514,33.2387658,-117.3291632
113530,38.4468606,-122.7143052
113563,36.8621089,-119.6405502
113589,37.7534881,-121.895795
113597,33.9068034,-117.4997275
113605,33.8714879,-117.4814693
113621,38.651445,-121.090475
113639,36.2341306,-119.3218799
